Substance MRP Full List (Every Composition Containing the Target Salts)
========================================================================================================================
Substance       | MRP      | Pack Size       | Full Name
------------------------------------------------------------------------------------------------------------------------
Alprazolam      | Rs   4.13 | 10's            | Alprazolam Tablets IP 0.25 mg
Alprazolam      | Rs   7.22 | 10's            | Alprazolam Tablets IP 0.5 mg
Alprazolam      | Rs  13.13 | 10's            | Alprazolam 0.25mg and Fluoxetine 20mg Tablets
Alprazolam      | Rs  14.07 | 10's            | Alprazolam 0.25mg and Propranolol Hydrochloride 10mg Tablets
Alprazolam      | Rs  15.00 | 10's            | Alprazolam 0.25mg and Propranolol Hydrochloride 20mg Tablets
Alprazolam      | Rs  23.44 | 10's            | Alprazolam 0.5mg and Sertraline Hydrochloride 25mg Tablets
Alprazolam      | Rs  32.82 | 10's            | Alprazolam 0.5mg and Sertraline Hydrochloride 50mg Tablets
Amitriptyline   | Rs   0.00 | 10's            | Amitriptyline Hydrochloride Tablets IP 5 mg
Amitriptyline   | Rs   6.19 | 10's            | Amitriptyline Hydrochloride Tablets IP 10mg
Amitriptyline   | Rs   8.25 | 15's            | Amitriptyline Hydrochloride Tablets IP 25mg
Amitriptyline   | Rs   8.44 | 10's            | Chlordiazepoxide 5mg and Amitriptyline Hydrochloride 12.5mg Tablets
Amitriptyline   | Rs   9.38 | 10's            | Amitriptyline Hydrochloride 25mg Chlordiazepoxide 10mg Tablets
Amitriptyline   | Rs  14.07 | 10's            | Amitriptyline Hydrochloride Tablets IP 50 mg
Amitriptyline   | Rs  18.75 | 10's            | Amitriptyline Hydrochloride Tablets IP 75 mg
Amitriptyline   | Rs  51.57 | 10's            | Gabapentin 300mg and Amitriptyline 10mg Tablets
Atropine        | Rs   2.00 | 1 ml            | Atropine Sulphate Injection IP 0.6mg per ml
Atropine        | Rs   5.63 | 10's            | Diphenoxylate Hydrochloride 2.5mg and Atropine sulphate 0.025mg Tablet
Baclofen        | Rs  11.00 | 10's            | Baclofen Tablets IP 10 mg
Baclofen        | Rs  30.00 | 10's            | Baclofen 20mg Extended Release (Gastric Retentive System) Tablets
Baclofen        | Rs  60.94 | 30g             | Gabapentin 6% w/w, Lignocaine 5% w/w and Baclofen 2% w/w gel
Bupropion       | Rs  42.19 | 10's            | Bupropion Prolonged-release Tablets IP 150 mg
Chlordiazepoxide | Rs   8.44 | 10's            | Chlordiazepoxide 5mg and Clidinium Bromide 2.5mg Tablets
